,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
369,2676618.0,2701817.0,['Separator.East'],[1.1622492],25199.0,1,False,True,['Separator.East']
487,3091041.0,3105080.0,['Separator.West'],[1.53362916],14039.0,1,False,True,['Separator.West']
514,3392985.0,3398743.0,['Separator.West'],[1.1549664000000002],5758.0,1,False,True,['Separator.West']
517,3435107.0,3454205.0,['Tank'],[0.1662192],19098.0,1,False,True,['Tank']
518,3454206.0,3456705.0,['Tank'],[0.1666476],2499.0,1,False,True,['Tank']
521,3507364.0,3522050.0,['Wellhead.West'],[0.7458444000000001],14686.0,1,False,True,['Wellhead.West']
522,3529253.0,3540600.0,['Separator.West'],[1.1018448],11347.0,1,False,True,['Separator.West']
523,3540600.0,3544252.0,['Separator.West'],[1.1082708000000003],3652.0,1,False,False,['Tank']
528,3593470.0,3612657.0,['Wellhead.West'],[3.7155132000000006],19187.0,1,False,True,['Wellhead.West']
530,3648601.0,3656159.0,['Wellhead.West'],[0.7462728000000002],7558.0,1,False,True,['Wellhead.West']
531,3659761.0,3670200.0,['Separator.East'],[0.3144456],10439.0,1,False,True,['Separator.East']
532,3679202.0,3685681.0,['Separator.East'],[1.8245556000000005],6479.0,1,False,True,['Separator.East']
535,3718805.0,3726004.0,['Separator.East'],[0.302022],7199.0,1,False,True,['Separator.East']
537,3759428.0,3771427.0,['Separator.East'],[1.99206],11999.0,1,False,True,['Separator.East']
538,3778630.0,3797410.0,['Wellhead.East'],[0.4014108],18780.0,1,False,True,['Wellhead.East']
539,3808212.0,3810611.0,['Tank'],[0.17136],2399.0,1,False,False,['Wellhead.East']
540,3819613.0,3821832.0,['Separator.East'],[0.3135888],2219.0,1,False,True,['Separator.East']
541,3829035.0,3832634.0,['Wellhead.West'],[0.4669560000000001],3599.0,1,False,True,['Wellhead.West']
542,3839837.0,3845536.0,['Tank'],[0.1773576],5699.0,1,False,True,['Tank']
543,3852739.0,3863058.0,['Separator.East'],[1.4278571999999998],10319.0,1,False,True,['Separator.East']
567,3874310.0,3876668.0,['Separator.West'],[0.5856228000000001],2358.0,1,False,True,['Separator.West']
570,3877745.0,3878774.0,['Separator.West'],[0.5984748000000001],1029.0,1,False,True,['Separator.West']
571,3878875.0,3879552.0,['Separator.West'],[0.3080196],677.0,1,False,True,['Separator.West']
572,3879553.0,3882064.0,['Separator.West'],[0.3118752000000001],2511.0,1,False,False,['Wellhead.West']
576,3907825.0,3914124.0,['Tank'],[0.1769292],6299.0,1,False,True,['Tank']
580,3939929.0,3947848.0,['Separator.East'],[1.9436508],7919.0,1,False,True,['Separator.East']
581,3955050.0,3956729.0,['Wellhead.West'],[3.5835660000000007],1679.0,1,False,True,['Wellhead.West']
582,3963932.0,3967111.0,['Separator.West'],[0.2955960000000001],3179.0,1,False,False,['Wellhead.East']
583,3977914.0,3985233.0,['Separator.East'],[0.6108984000000001],7319.0,1,False,True,['Separator.East']
585,4019616.0,4028136.0,['Wellhead.West'],[0.3817044],8520.0,1,False,True,['Wellhead.West']
586,4038938.0,4047037.0,['Separator.East'],[0.5157936],8099.0,1,False,True,['Separator.East']
587,4057840.0,4059002.0,['Wellhead.East'],[0.6965784000000002],1162.0,1,False,True,['Wellhead.East']
