,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
519,3463908.0,3479459.0,"['Wellhead.West', 'Tank']","[0.7407036, 0.087822]",15551.0,2,False,False,['Separator.East' 'Wellhead.West']
520,3486662.0,3500161.0,"['Separator.West', 'Separator.East']","[0.3311532, 0.6258924]",13499.0,2,False,True,['Separator.East' 'Separator.West']
525,3555055.0,3565853.0,"['Tank', 'Separator.West']","[0.169218, 0.3311532]",10798.0,2,False,True,['Separator.West' 'Tank']
527,3573057.0,3586267.0,"['Separator.East', 'Separator.West']","[0.6378876, 0.5774832000000001]",13210.0,2,False,True,['Separator.East' 'Separator.West']
529,3627003.0,3644999.0,"['Wellhead.West', 'Separator.West']","[0.4768092, 0.3200148]",17996.0,2,False,True,['Separator.West' 'Wellhead.West']
533,3692883.0,3713399.0,"['Separator.East', 'Wellhead.West']","[0.2776032, 0.4909464000000001]",20516.0,2,False,False,['Separator.East' 'Separator.West']
536,3733206.0,3752225.0,"['Separator.West', 'Tank']","[0.3307248, 0.0916776]",19019.0,2,False,True,['Separator.West' 'Tank']
574,3886199.0,3897021.0,"['Wellhead.East', 'Tank']","[0.4198320000000001, 0.0908208]",10822.0,2,False,False,['Separator.East' 'Wellhead.East']
578,3924927.0,3932725.0,"['Separator.East', 'Tank']","[0.3230136, 0.1769292]",7798.0,2,False,True,['Separator.East' 'Tank']
584,3994235.0,4005214.0,"['Tank', 'Wellhead.East']","[0.0925344, 0.6443135999999999]",10979.0,2,False,True,['Tank' 'Wellhead.East']
593,4146827.0,4159845.0,"['Wellhead.East', 'Tank']","[0.4922316, 0.184212]",13018.0,2,False,True,['Tank' 'Wellhead.East']
595,4167048.0,4178026.0,"['Wellhead.East', 'Separator.West']","[0.6850116, 0.3568572]",10978.0,2,False,True,['Separator.West' 'Wellhead.East']
599,4253401.0,4258499.0,"['Tank', 'Separator.East']","[0.1773576, 1.5623748]",5098.0,2,False,False,['Separator.East' 'Wellhead.East']
600,4260302.0,4270801.0,"['Wellhead.West', 'Tank']","[1.0517220000000005, 0.1812132]",10499.0,2,False,True,['Tank' 'Wellhead.West']
606,4318203.0,4332605.0,"['Wellhead.East', 'Separator.West']","[0.9321984000000002, 0.5650596]",14402.0,2,False,True,['Separator.West' 'Wellhead.East']
609,4339810.0,4360208.0,"['Tank', 'Wellhead.East']","[0.2583252, 0.6485976000000001]",20398.0,2,False,True,['Tank' 'Wellhead.East']
615,4394416.0,4401615.0,"['Separator.West', 'Separator.East']","[1.5632316000000002, 1.8292680000000008]",7199.0,2,False,True,['Separator.East' 'Separator.West']
619,4432822.0,4437321.0,"['Wellhead.East', 'Separator.West']","[0.9437652, 0.5744844]",4499.0,2,False,True,['Separator.West' 'Wellhead.East']
621,4439125.0,4452143.0,"['Tank', 'Separator.East']","[0.254898, 1.2590676]",13018.0,2,False,True,['Separator.East' 'Tank']
624,4492831.0,4501830.0,"['Tank', 'Wellhead.West']","[0.2489004, 1.0285884]",8999.0,2,False,False,['Separator.East' 'Wellhead.West']
629,4555836.0,4566934.0,"['Wellhead.West', 'Tank']","[1.9440792000000005, 7.149996000000001]",11098.0,2,False,True,['Tank' 'Wellhead.West']
631,4599041.0,4615539.0,"['Separator.East', 'Tank']","[0.6138972, 0.0908208]",16498.0,2,False,False,['Separator.East' 'Separator.West']
636,4699848.0,4713947.0,"['Wellhead.West', 'Tank']","[0.9557604, 0.0912492]",14099.0,2,False,False,['Wellhead.East' 'Wellhead.West']
638,4717550.0,4722349.0,"['Separator.East', 'Wellhead.East']","[0.7719768, 0.9193464]",4799.0,2,False,True,['Separator.East' 'Wellhead.East']
642,4757457.0,4766456.0,"['Separator.West', 'Separator.East']","[0.55850508, 0.7675642800000001]",8999.0,2,False,True,['Separator.East' 'Separator.West']
648,4858204.0,4884302.0,"['Wellhead.West', 'Tank']","[0.5436396, 0.092106]",26098.0,2,False,False,['Separator.East' 'Wellhead.West']
650,4891505.0,4912805.0,"['Wellhead.East', 'Separator.East']","[2.0010564, 1.484406]",21300.0,2,False,True,['Separator.East' 'Wellhead.East']
652,4928410.0,4944609.0,"['Wellhead.East', 'Separator.East']","[0.3932712, 0.2523276]",16199.0,2,False,True,['Separator.East' 'Wellhead.East']
654,4950014.0,4978513.0,"['Wellhead.East', 'Separator.East']","[0.4194036, 0.308448]",28499.0,2,False,True,['Separator.East' 'Wellhead.East']
658,4995921.0,5009398.0,"['Wellhead.East', 'Separator.West']","[1.4557032, 1.5221052000000002]",13477.0,2,False,True,['Separator.West' 'Wellhead.East']
